CaseID,MH1
35495,2005/9/1
35495,2012/1/1
35495,2010/7/1
32428,2005/8/1
32428,2010/5/1
62212,2002/7/1
62212,2003/6/1
59263,NA
59263,NA
59263,NA
47829,2009/12/1
47829,2015/6/1
61073,2003/2/1
61073,2002/7/1
60841,2003/5/1
34851,NA
62271,NA
48526,2011/9/1
56197,2013/7/1
31258,2007/2/1
31258,NA
31258,2010/7/1
61629,2003/12/1
61629,2013/6/1
61629,2012/2/1
61629,2010/8/1
52976,NA
52976,2010/4/1
28892,NA
28892,2010/9/1
30788,2002/7/1
48296,2011/8/1
48539,2004/2/1
48539,NA
58973,2009/7/1
55615,2002/7/1
29540,NA
59693,2007/4/1
59693,2012/2/1
59693,2005/9/1
59693,NA
59693,NA
59693,2005/9/1
61933,2005/10/1
33405,2005/6/1
33405,NA
33405,NA
33405,NA
57663,2015/12/1
61950,2011/2/1
50199,2002/12/1
61997,2002/7/1
61473,2002/7/1
60825,2010/4/1
61457,NA
61121,2007/7/1
58339,NA
47253,2007/3/1
47253,NA
54856,NA
54856,2002/7/1
54856,2002/7/1
32613,2007/7/1
47829,2013/9/1
60033,NA
48433,NA
48433,2008/2/1
48433,NA
55383,2004/1/1
60821,2012/2/1
61152,2002/9/1
56314,2009/4/1
60410,NA
60643,2004/7/1
60643,2009/3/1
62199,2009/5/1
61662,2016/12/1
61662,NA
61662,2003/12/1
48475,2009/5/1
48475,2012/12/1
48475,2004/10/1
48475,2010/11/1
48475,NA
35343,2003/9/1
33671,2002/7/1
33671,NA
33671,NA
33671,NA
62115,2006/5/1
58973,2007/4/1
58973,2004/6/1
58973,2014/5/1
58734,2012/10/1
61495,2002/7/1
32169,2008/2/1
32169,2004/2/1
32169,2003/12/1
30452,2005/7/1
61493,NA
61493,NA
61882,2004/9/1
54954,2002/7/1
54954,NA
54954,2013/5/1
61715,2011/11/1
50199,NA
30495,2006/9/1
61363,2007/9/1
61363,2008/7/1
61363,2010/12/1
61309,2002/7/1
32542,2003/12/1
32542,2012/4/1
55335,NA
32668,NA
32668,2002/7/1
61066,2003/12/1
48782,NA
48782,NA
48782,2007/5/1
48475,NA
48717,2007/6/1
48717,2002/7/1
48717,NA
48717,NA
54954,NA
59663,NA
59663,2008/10/1
32961,2005/10/1
62137,2011/10/1
62390,2002/7/1
62390,NA
31962,2009/5/1
31962,NA
31962,2004/3/1
61747,2014/5/1
61747,2013/7/1
61747,NA
30096,2013/10/1
30096,NA
30096,2007/2/1
30096,2015/4/1
30096,2015/5/1
32680,2002/7/1
32980,NA
32980,2010/12/1
32980,NA
33598,2006/4/1
49551,NA
49551,NA
60900,NA
60900,NA
60900,2010/6/1
32754,NA
55335,2003/12/1
60964,NA
60680,2013/2/1
60680,2002/7/1
60133,2015/6/1
60133,NA
56840,2002/9/1
55841,NA
60896,NA
47089,2015/8/1
47089,2007/1/1
33102,2009/6/1
33102,2012/9/1
33102,2006/6/1
33138,2004/11/1
33138,NA
33138,2004/11/1
33138,NA
33138,NA
33139,2002/7/1
33139,2003/12/1
33139,2010/4/1
33139,NA
33139,NA
33139,NA
57630,2004/6/1
48296,2008/8/1
48296,2008/12/1
48296,2007/3/1
48296,2012/2/1
48296,2010/8/1
48296,2008/8/1
61844,2005/7/1
51404,2009/10/1
61395,2013/7/1
61395,2015/5/1
61395,NA
49568,2005/3/1
49568,2009/7/1
61527,NA
60680,2013/7/1
60680,2016/2/1
60943,NA
58379,2006/2/1
49584,2008/1/1
49584,2016/3/1
49584,2011/7/1
49584,NA
49584,2007/5/1
48776,NA
48776,NA
48776,NA
48776,NA
48776,NA
48776,NA
61256,NA
59661,2008/7/1
54269,2003/12/1
48776,NA
57698,2003/12/1
57698,NA
57732,2013/1/1
57732,2009/5/1
33098,2012/6/1
33098,NA
33098,NA
61278,NA
33098,2002/9/1
33098,2013/1/1
33098,2006/3/1
59906,2005/8/1
62150,2012/7/1
61659,2011/2/1
60334,2002/7/1
48398,2009/6/1
48398,2002/10/1
48398,NA
49562,2012/4/1
30737,NA
53561,2002/7/1
61409,2004/8/1
56183,NA
61022,NA
60729,NA
33268,2014/2/1
60035,2015/12/1
60836,2002/7/1
53410,NA
53410,NA
53410,NA
53410,NA
53410,NA
61869,NA
61452,2010/7/1
58040,2002/7/1
33413,NA
62209,2002/7/1
32801,NA
56847,NA
33301,2005/7/1
32731,2015/10/1
32731,NA
32731,NA
33289,2005/6/1
33289,2005/3/1
33289,2004/5/1
33274,NA
33274,2016/7/1
33274,2016/11/1
33170,2008/9/1
33170,2008/4/1
33170,2014/6/1
30151,NA
62299,NA
62299,NA
62299,2010/3/1
62299,NA
31610,NA
31610,2010/8/1
31610,NA
31610,NA
61134,NA
34938,2012/7/1
34938,2016/8/1
28892,NA
31826,2008/9/1
49946,2004/10/1
61262,2004/12/1
55600,2003/7/1
61565,NA
53948,2006/3/1
61024,2003/7/1
55040,2010/4/1
61723,NA
60843,2005/1/1
60945,NA
61503,2016/10/1
54390,2002/8/1
28994,2005/3/1
28994,NA
29003,2002/7/1
29003,2007/12/1
62147,NA
29710,2002/10/1
51473,2003/12/1
52058,2005/3/1
56768,2010/11/1
39146,NA
62016,2015/2/1
47572,2002/7/1
54874,NA
32542,2002/8/1
32542,NA
60793,2007/4/1
60772,2014/9/1
60994,2011/4/1
61994,NA
51650,NA
32086,2005/5/1
62456,2002/7/1
62146,2002/7/1
52005,2006/6/1
29164,NA
61152,2002/7/1
31826,2002/7/1
61152,2007/12/1
29128,NA
51404,2006/4/1
31661,2017/1/1
39138,2009/5/1
29164,2012/2/1
60456,2002/7/1
61473,NA
53793,2002/7/1
31652,2004/4/1
62138,2002/7/1
30368,2003/12/1
47829,NA
50815,2006/6/1
61095,2012/3/1
61688,2002/9/1
52204,2012/3/1
34319,2006/4/1
34312,2005/6/1
32086,2004/11/1
31188,2006/3/1
54950,NA
30171,NA
60205,2002/7/1
61944,2004/6/1
32324,2008/5/1
31999,2006/8/1
31999,2005/3/1
52359,2002/10/1
58583,2008/9/1
55719,2002/9/1
48433,2002/7/1
32334,2002/7/1
